id,slug,primary_keyword,title,category_key,search_intent,priority,score,competition_estimate,conversion_potential,status
165,"1031-exchange-vs-standard-deduction","1031 exchange vs standard deduction","1031 Exchange vs Standard Deduction: Which Strategy Works Better in 2026?",tax_strategies,comparison,P2,32,medium,medium,pending
166,"1031-exchange-vs-itemized-deductions","1031 exchange vs itemized deductions","1031 Exchange vs Itemized Deductions: Which Strategy Works Better in 2026?",tax_strategies,comparison,P2,32,medium,medium,pending
167,"hsa-strategy-vs-retirement-contributions","hsa strategy vs retirement contributions","Hsa Strategy vs Retirement Contributions: Which Strategy Works Better in 2026?",tax_strategies,comparison,P2,32,medium,medium,pending
168,"hsa-strategy-tax-implications","hsa strategy tax implications","Hsa Strategy Tax Implications: Complete 2026 Guide",tax_strategies,informational,P2,32,medium,medium,pending
169,"estate-tax-planning-for-high-earners","estate tax planning for high earners","Estate Tax Planning For High Earners: Complete 2026 Guide",tax_strategies,informational,P2,32,low,medium,pending
170,"estate-tax-planning-for-small-business-owners","estate tax planning for small business owners","Estate Tax Planning For Small Business Owners: Complete 2026 Guide",tax_strategies,informational,P2,32,low,medium,pending
171,"estate-tax-planning-for-real-estate-investors","estate tax planning for real estate investors","Estate Tax Planning For Real Estate Investors: Complete 2026 Guide",tax_strategies,informational,P2,32,low,medium,pending
172,"estate-tax-planning-for-self-employed-professionals","estate tax planning for self employed professionals","Estate Tax Planning For Self Employed Professionals: Complete 2026 Guide",tax_strategies,informational,P2,32,low,medium,pending
173,"estate-tax-planning-for-physicians","estate tax planning for physicians","Estate Tax Planning For Physicians: Complete 2026 Guide",tax_strategies,informational,P2,32,medium,medium,pending
174,"estate-tax-planning-for-consultants","estate tax planning for consultants","Estate Tax Planning For Consultants: Complete 2026 Guide",tax_strategies,informational,P2,32,medium,medium,pending
175,"estate-tax-planning-vs-entity-restructuring","estate tax planning vs entity restructuring","Estate Tax Planning vs Entity Restructuring: Which Strategy Works Better in 2026?",tax_strategies,comparison,P2,32,low,medium,pending
176,"estate-tax-planning-for-beginners","estate tax planning for beginners","Estate Tax Planning For Beginners: Complete 2026 Guide",tax_strategies,informational,P2,32,medium,medium,pending
177,"estate-tax-planning-checklist","estate tax planning checklist","Estate Tax Planning Checklist: Practical Guide + Examples",tax_strategies,informational,P2,32,medium,medium,pending
178,"estate-tax-planning-calculator","estate tax planning calculator","Estate Tax Planning Calculator: Practical Guide + Examples",tax_strategies,commercial,P2,32,medium,medium,pending
179,"estate-tax-planning-template","estate tax planning template","Estate Tax Planning Template: Practical Guide + Examples",tax_strategies,commercial,P2,32,medium,medium,pending
180,"estate-tax-planning-best-strategy","estate tax planning best strategy","Estate Tax Planning Best Strategy: Complete 2026 Guide",tax_strategies,commercial,P2,32,medium,medium,pending
181,"capital-gains-tax-for-high-earners","capital gains tax for high earners","Capital Gains Tax For High Earners: Complete 2026 Guide",tax_strategies,informational,P2,32,low,medium,pending
182,"capital-gains-tax-for-small-business-owners","capital gains tax for small business owners","Capital Gains Tax For Small Business Owners: Complete 2026 Guide",tax_strategies,informational,P2,32,low,medium,pending
183,"capital-gains-tax-for-real-estate-investors","capital gains tax for real estate investors","Capital Gains Tax For Real Estate Investors: Complete 2026 Guide",tax_strategies,informational,P2,32,low,medium,pending
184,"capital-gains-tax-for-self-employed-professionals","capital gains tax for self employed professionals","Capital Gains Tax For Self Employed Professionals: Complete 2026 Guide",tax_strategies,informational,P2,32,low,medium,pending
185,"capital-gains-tax-for-physicians","capital gains tax for physicians","Capital Gains Tax For Physicians: Complete 2026 Guide",tax_strategies,informational,P2,32,medium,medium,pending
186,"capital-gains-tax-for-consultants","capital gains tax for consultants","Capital Gains Tax For Consultants: Complete 2026 Guide",tax_strategies,informational,P2,32,medium,medium,pending
187,"capital-gains-tax-vs-entity-restructuring","capital gains tax vs entity restructuring","Capital Gains Tax vs Entity Restructuring: Which Strategy Works Better in 2026?",tax_strategies,comparison,P2,32,low,medium,pending
188,"capital-gains-tax-for-beginners","capital gains tax for beginners","Capital Gains Tax For Beginners: Complete 2026 Guide",tax_strategies,informational,P2,32,medium,medium,pending
189,"capital-gains-tax-checklist","capital gains tax checklist","Capital Gains Tax Checklist: Practical Guide + Examples",tax_strategies,informational,P2,32,medium,medium,pending
190,"capital-gains-tax-template","capital gains tax template","Capital Gains Tax Template: Practical Guide + Examples",tax_strategies,commercial,P2,32,medium,medium,pending
191,"capital-gains-tax-best-strategy","capital gains tax best strategy","Capital Gains Tax Best Strategy: Complete 2026 Guide",tax_strategies,commercial,P2,32,medium,medium,pending
192,"retirement-withdrawal-strategy-software","retirement withdrawal strategy software","Retirement Withdrawal Strategy Software: Complete 2026 Guide",retirement,informational,P2,32,medium,medium,pending
193,"retirement-withdrawal-strategy-spreadsheet","retirement withdrawal strategy spreadsheet","Retirement Withdrawal Strategy Spreadsheet: Complete 2026 Guide",retirement,informational,P2,32,medium,medium,pending
194,"retirement-withdrawal-strategy-guardrails","retirement withdrawal strategy guardrails","Retirement Withdrawal Strategy Guardrails: Complete 2026 Guide",retirement,informational,P2,32,medium,medium,pending
195,"best-retirement-withdrawal-strategy","best retirement withdrawal strategy","Best Retirement Withdrawal Strategy: Complete 2026 Guide",retirement,commercial,P2,32,medium,medium,pending
196,"401k-strategy-vs-delayed-retirement","401k strategy vs delayed retirement","401k Strategy vs Delayed Retirement: Which Strategy Works Better in 2026?",retirement,comparison,P2,32,medium,medium,pending
197,"401k-strategy-tax-implications","401k strategy tax implications","401k Strategy Tax Implications: Complete 2026 Guide",retirement,informational,P2,32,medium,medium,pending
198,"ira-strategy-vs-delayed-retirement","ira strategy vs delayed retirement","Ira Strategy vs Delayed Retirement: Which Strategy Works Better in 2026?",retirement,comparison,P2,32,medium,medium,pending
199,"ira-strategy-tax-implications","ira strategy tax implications","Ira Strategy Tax Implications: Complete 2026 Guide",retirement,informational,P2,32,medium,medium,pending
200,"roth-ira-vs-taxable-brokerage","roth ira vs taxable brokerage","Roth Ira vs Taxable Brokerage: Which Strategy Works Better in 2026?",retirement,comparison,P2,32,medium,medium,pending
201,"backdoor-roth-vs-taxable-brokerage","backdoor roth vs taxable brokerage","Backdoor Roth vs Taxable Brokerage: Which Strategy Works Better in 2026?",retirement,comparison,P2,32,medium,medium,pending
202,"required-minimum-distributions-vs-taxable-brokerage","required minimum distributions vs taxable brokerage","Required Minimum Distributions vs Taxable Brokerage: Which Strategy Works Better in 2026?",retirement,comparison,P2,32,low,medium,pending
203,"social-security-claiming-vs-taxable-brokerage","social security claiming vs taxable brokerage","Social Security Claiming vs Taxable Brokerage: Which Strategy Works Better in 2026?",retirement,comparison,P2,32,low,medium,pending
204,"sequence-of-returns-risk-vs-taxable-brokerage","sequence of returns risk vs taxable brokerage","Sequence Of Returns Risk vs Taxable Brokerage: Which Strategy Works Better in 2026?",retirement,comparison,P2,32,low,medium,pending
205,"retirement-income-plan-vs-cash-bucket-strategy","retirement income plan vs cash bucket strategy","Retirement Income Plan vs Cash Bucket Strategy: Which Strategy Works Better in 2026?",retirement,comparison,P2,32,low,medium,pending
206,"annuities-vs-bonds-vs-taxable-brokerage","annuities vs bonds vs taxable brokerage","Annuities vs Bonds: Which Strategy Works Better in 2026?",retirement,comparison,P2,32,low,medium,pending
207,"annuities-vs-bonds-tax-implications","annuities vs bonds tax implications","Annuities vs Bonds Tax Implications: Which Strategy Works Better in 2026?",retirement,comparison,P2,32,medium,medium,pending
208,"reasonable-salary-for-s-corp","reasonable salary for s corp","Reasonable Salary For S Corp: Complete 2026 Guide",business_structures,informational,P2,32,medium,medium,pending
209,"reasonable-salary-for-s-corp-owner","reasonable salary for s corp owner","Reasonable Salary For S Corp Owner: Complete 2026 Guide",business_structures,informational,P2,32,low,medium,pending
210,"how-to-determine-reasonable-salary-for-s-corp","how to determine reasonable salary for s corp","How To Determine Reasonable Salary For S Corp: Complete 2026 Guide",business_structures,informational,P2,32,low,medium,pending
211,"how-to-calculate-reasonable-salary-for-s-corp","how to calculate reasonable salary for s corp","How To Calculate Reasonable Salary For S Corp: Complete 2026 Guide",business_structures,informational,P2,32,low,medium,pending
212,"how-much-is-reasonable-salary-for-s-corp","how much is reasonable salary for s corp","How Much Is Reasonable Salary For S Corp: Complete 2026 Guide",business_structures,informational,P2,32,low,medium,pending
213,"series-llc-vs-llc","series llc vs llc","Series Llc vs Llc: Which Strategy Works Better in 2026?",business_structures,comparison,P2,32,medium,medium,pending
214,"series-llc-vs-holding-company","series llc vs holding company","Series Llc vs Holding Company: Which Strategy Works Better in 2026?",business_structures,comparison,P2,32,medium,medium,pending
215,"how-to-get-operating-agreement-for-llc","how to get operating agreement for llc","How To Get Operating Agreement For Llc: Complete 2026 Guide",business_structures,informational,P2,32,low,medium,pending
216,"how-to-create-operating-agreement-for-llc","how to create operating agreement for llc","How To Create Operating Agreement For Llc: Complete 2026 Guide",business_structures,informational,P2,32,low,medium,pending
217,"how-to-find-operating-agreement-for-llc","how to find operating agreement for llc","How To Find Operating Agreement For Llc: Complete 2026 Guide",business_structures,informational,P2,32,low,medium,pending
218,"how-to-write-operating-agreement-for-llc","how to write operating agreement for llc","How To Write Operating Agreement For Llc: Complete 2026 Guide",business_structures,informational,P2,32,low,medium,pending
219,"best-state-for-series-llc","best state for series llc","Best State For Series Llc: Complete 2026 Guide",business_structures,commercial,P2,32,medium,medium,pending
220,"best-bank-for-series-llc","best bank for series llc","Best Bank For Series Llc: Complete 2026 Guide",business_structures,commercial,P2,32,medium,medium,pending
221,"series-llc-vs-standard-llc","series llc vs standard llc","Series Llc vs Standard Llc: Which Strategy Works Better in 2026?",business_structures,comparison,P2,32,medium,medium,pending
222,"operating-agreement-llc-template","operating agreement llc template","Operating Agreement Llc Template: Practical Guide + Examples",business_structures,commercial,P2,32,medium,medium,pending
223,"operating-agreement-for-single-member-llc","operating agreement for single member llc","Operating Agreement For Single Member Llc: Complete 2026 Guide",business_structures,informational,P2,32,low,medium,pending
224,"operating-agreement-llc-texas-template","operating agreement llc texas template","Operating Agreement Llc Texas Template: Practical Guide + Examples",business_structures,commercial,P2,32,medium,medium,pending
225,"best-llc-operating-agreement-template","best llc operating agreement template","Best Llc Operating Agreement Template: Practical Guide + Examples",business_structures,commercial,P2,32,medium,medium,pending
226,"registered-agent-for-llc-in-texas","registered agent for llc in texas","Registered Agent For Llc In Texas: Complete 2026 Guide",business_structures,informational,P2,32,low,medium,pending
227,"best-registered-agent-for-llc","best registered agent for llc","Best Registered Agent For Llc: Complete 2026 Guide",business_structures,commercial,P2,32,medium,medium,pending
228,"best-registered-agent-service-for-llc","best registered agent service for llc","Best Registered Agent Service For Llc: Complete 2026 Guide",business_structures,commercial,P2,32,low,medium,pending
229,"registered-agent-for-llc","registered agent for llc","Registered Agent For Llc: Complete 2026 Guide",business_structures,informational,P2,32,medium,medium,pending
230,"how-to-change-registered-agent-for-llc","how to change registered agent for llc","How To Change Registered Agent For Llc: Complete 2026 Guide",business_structures,informational,P2,32,low,medium,pending
231,"how-to-find-registered-agent-for-llc","how to find registered agent for llc","How To Find Registered Agent For Llc: Complete 2026 Guide",business_structures,informational,P2,32,low,medium,pending
232,"s-corp-election-for-freelancers","s corp election for freelancers","S Corp Election For Freelancers: Complete 2026 Guide",business_structures,informational,P2,32,medium,medium,pending
233,"s-corp-election-for-agency-owners","s corp election for agency owners","S Corp Election For Agency Owners: Complete 2026 Guide",business_structures,informational,P2,32,low,medium,pending
234,"s-corp-election-for-ecommerce-founders","s corp election for ecommerce founders","S Corp Election For Ecommerce Founders: Complete 2026 Guide",business_structures,informational,P2,32,low,medium,pending
235,"s-corp-election-for-real-estate-operators","s corp election for real estate operators","S Corp Election For Real Estate Operators: Complete 2026 Guide",business_structures,informational,P2,32,low,medium,pending
236,"s-corp-election-for-service-businesses","s corp election for service businesses","S Corp Election For Service Businesses: Complete 2026 Guide",business_structures,informational,P2,32,low,medium,pending
237,"s-corp-election-for-consultants","s corp election for consultants","S Corp Election For Consultants: Complete 2026 Guide",business_structures,informational,P2,32,medium,medium,pending
238,"s-corp-election-vs-sole-proprietorship","s corp election vs sole proprietorship","S Corp Election vs Sole Proprietorship: Which Strategy Works Better in 2026?",business_structures,comparison,P2,32,low,medium,pending
239,"s-corp-election-vs-partnership","s corp election vs partnership","S Corp Election vs Partnership: Which Strategy Works Better in 2026?",business_structures,comparison,P2,32,medium,medium,pending
240,"s-corp-election-vs-c-corp","s corp election vs c corp","S Corp Election vs C Corp: Which Strategy Works Better in 2026?",business_structures,comparison,P2,32,low,medium,pending
241,"s-corp-election-for-beginners","s corp election for beginners","S Corp Election For Beginners: Complete 2026 Guide",business_structures,informational,P2,32,medium,medium,pending
242,"s-corp-election-for-high-earners","s corp election for high earners","S Corp Election For High Earners: Complete 2026 Guide",business_structures,informational,P2,32,low,medium,pending
243,"s-corp-election-for-small-business-owners","s corp election for small business owners","S Corp Election For Small Business Owners: Complete 2026 Guide",business_structures,informational,P2,32,low,medium,pending
244,"s-corp-election-checklist","s corp election checklist","S Corp Election Checklist: Practical Guide + Examples",business_structures,informational,P2,32,medium,medium,pending
245,"s-corp-election-calculator","s corp election calculator","S Corp Election Calculator: Practical Guide + Examples",business_structures,commercial,P2,32,medium,medium,pending
246,"s-corp-election-template","s corp election template","S Corp Election Template: Practical Guide + Examples",business_structures,commercial,P2,32,medium,medium,pending
247,"s-corp-election-best-strategy","s corp election best strategy","S Corp Election Best Strategy: Complete 2026 Guide",business_structures,commercial,P2,32,medium,medium,pending
248,"reasonable-salary-vs-professional-llc","reasonable salary vs professional llc","Reasonable Salary vs Professional Llc: Which Strategy Works Better in 2026?",business_structures,comparison,P2,32,medium,medium,pending
249,"holding-company-vs-professional-llc","holding company vs professional llc","Holding Company vs Professional Llc: Which Strategy Works Better in 2026?",business_structures,comparison,P2,32,medium,medium,pending
250,"series-llc-for-freelancers","series llc for freelancers","Series Llc For Freelancers: Complete 2026 Guide",business_structures,informational,P2,32,medium,medium,pending
251,"series-llc-for-agency-owners","series llc for agency owners","Series Llc For Agency Owners: Complete 2026 Guide",business_structures,informational,P2,32,medium,medium,pending
252,"series-llc-for-ecommerce-founders","series llc for ecommerce founders","Series Llc For Ecommerce Founders: Complete 2026 Guide",business_structures,informational,P2,32,medium,medium,pending
253,"series-llc-for-real-estate-operators","series llc for real estate operators","Series Llc For Real Estate Operators: Complete 2026 Guide",business_structures,informational,P2,32,low,medium,pending
254,"series-llc-for-service-businesses","series llc for service businesses","Series Llc For Service Businesses: Complete 2026 Guide",business_structures,informational,P2,32,medium,medium,pending
255,"series-llc-for-consultants","series llc for consultants","Series Llc For Consultants: Complete 2026 Guide",business_structures,informational,P2,32,medium,medium,pending
256,"series-llc-vs-sole-proprietorship","series llc vs sole proprietorship","Series Llc vs Sole Proprietorship: Which Strategy Works Better in 2026?",business_structures,comparison,P2,32,medium,medium,pending
257,"series-llc-vs-partnership","series llc vs partnership","Series Llc vs Partnership: Which Strategy Works Better in 2026?",business_structures,comparison,P2,32,medium,medium,pending
258,"series-llc-vs-c-corp","series llc vs c corp","Series Llc vs C Corp: Which Strategy Works Better in 2026?",business_structures,comparison,P2,32,medium,medium,pending
259,"series-llc-vs-professional-llc","series llc vs professional llc","Series Llc vs Professional Llc: Which Strategy Works Better in 2026?",business_structures,comparison,P2,32,medium,medium,pending
260,"series-llc-vs-trust-structure","series llc vs trust structure","Series Llc vs Trust Structure: Which Strategy Works Better in 2026?",business_structures,comparison,P2,32,medium,medium,pending
261,"series-llc-for-beginners","series llc for beginners","Series Llc For Beginners: Complete 2026 Guide",business_structures,informational,P2,32,medium,medium,pending
262,"series-llc-for-high-earners","series llc for high earners","Series Llc For High Earners: Complete 2026 Guide",business_structures,informational,P2,32,medium,medium,pending
263,"series-llc-for-small-business-owners","series llc for small business owners","Series Llc For Small Business Owners: Complete 2026 Guide",business_structures,informational,P2,32,low,medium,pending
264,"series-llc-best-strategy","series llc best strategy","Series Llc Best Strategy: Complete 2026 Guide",business_structures,commercial,P2,32,medium,medium,pending
265,"operating-agreement-vs-professional-llc","operating agreement vs professional llc","Operating Agreement vs Professional Llc: Which Strategy Works Better in 2026?",business_structures,comparison,P2,32,medium,medium,pending
266,"registered-agent-vs-professional-llc","registered agent vs professional llc","Registered Agent vs Professional Llc: Which Strategy Works Better in 2026?",business_structures,comparison,P2,32,medium,medium,pending
267,"business-succession-planning-vs-professional-llc","business succession planning vs professional llc","Business Succession Planning vs Professional Llc: Which Strategy Works Better in 2026?",business_structures,comparison,P2,32,low,medium,pending
268,"corporate-veil-vs-professional-llc","corporate veil vs professional llc","Corporate Veil vs Professional Llc: Which Strategy Works Better in 2026?",business_structures,comparison,P2,32,medium,medium,pending
269,"multi-state-llc-for-freelancers","multi state llc for freelancers","Multi State Llc For Freelancers: Complete 2026 Guide",business_structures,informational,P2,32,medium,medium,pending
270,"multi-state-llc-for-agency-owners","multi state llc for agency owners","Multi State Llc For Agency Owners: Complete 2026 Guide",business_structures,informational,P2,32,low,medium,pending
271,"multi-state-llc-for-ecommerce-founders","multi state llc for ecommerce founders","Multi State Llc For Ecommerce Founders: Complete 2026 Guide",business_structures,informational,P2,32,low,medium,pending
272,"multi-state-llc-for-real-estate-operators","multi state llc for real estate operators","Multi State Llc For Real Estate Operators: Complete 2026 Guide",business_structures,informational,P2,32,low,medium,pending
273,"multi-state-llc-for-service-businesses","multi state llc for service businesses","Multi State Llc For Service Businesses: Complete 2026 Guide",business_structures,informational,P2,32,low,medium,pending
274,"multi-state-llc-for-consultants","multi state llc for consultants","Multi State Llc For Consultants: Complete 2026 Guide",business_structures,informational,P2,32,medium,medium,pending
275,"multi-state-llc-vs-sole-proprietorship","multi state llc vs sole proprietorship","Multi State Llc vs Sole Proprietorship: Which Strategy Works Better in 2026?",business_structures,comparison,P2,32,low,medium,pending
276,"multi-state-llc-vs-partnership","multi state llc vs partnership","Multi State Llc vs Partnership: Which Strategy Works Better in 2026?",business_structures,comparison,P2,32,medium,medium,pending
277,"multi-state-llc-vs-c-corp","multi state llc vs c corp","Multi State Llc vs C Corp: Which Strategy Works Better in 2026?",business_structures,comparison,P2,32,low,medium,pending
278,"multi-state-llc-vs-professional-llc","multi state llc vs professional llc","Multi State Llc vs Professional Llc: Which Strategy Works Better in 2026?",business_structures,comparison,P2,32,low,medium,pending
279,"multi-state-llc-for-beginners","multi state llc for beginners","Multi State Llc For Beginners: Complete 2026 Guide",business_structures,informational,P2,32,medium,medium,pending
280,"multi-state-llc-for-high-earners","multi state llc for high earners","Multi State Llc For High Earners: Complete 2026 Guide",business_structures,informational,P2,32,low,medium,pending
281,"multi-state-llc-for-small-business-owners","multi state llc for small business owners","Multi State Llc For Small Business Owners: Complete 2026 Guide",business_structures,informational,P2,32,low,medium,pending
282,"multi-state-llc-checklist","multi state llc checklist","Multi State Llc Checklist: Practical Guide + Examples",business_structures,informational,P2,32,medium,medium,pending
283,"multi-state-llc-calculator","multi state llc calculator","Multi State Llc Calculator: Practical Guide + Examples",business_structures,commercial,P2,32,medium,medium,pending
284,"multi-state-llc-template","multi state llc template","Multi State Llc Template: Practical Guide + Examples",business_structures,commercial,P2,32,medium,medium,pending
285,"multi-state-llc-best-strategy","multi state llc best strategy","Multi State Llc Best Strategy: Complete 2026 Guide",business_structures,commercial,P2,32,medium,medium,pending
286,"tax-planning-to-and-through-early-retirement","tax planning to and through early retirement","Tax Planning To And Through Early Retirement: Complete 2026 Guide",tax_strategies,informational,P2,30,low,medium,pending
287,"retirement-income-planning-llc","retirement income planning llc","Retirement Income Planning Llc: Complete 2026 Guide",retirement,informational,P2,30,medium,medium,pending
288,"retirement-income-plan-tax-implications","retirement income plan tax implications","Retirement Income Plan Tax Implications: Complete 2026 Guide",retirement,informational,P2,30,medium,medium,pending
